run_path,step,tag,value
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,31,ActiveCount/Train/awards,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,32,ActiveCount/Train/awards,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,33,ActiveCount/Train/awards,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,34,ActiveCount/Train/awards,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,35,ActiveCount/Train/awards,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,36,ActiveCount/Train/awards,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,37,ActiveCount/Train/awards,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,38,ActiveCount/Train/awards,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,39,ActiveCount/Train/awards,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,40,ActiveCount/Train/awards,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,1,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,2,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,3,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,4,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,5,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,6,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,7,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,8,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,9,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,10,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,11,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,12,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,13,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,14,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,15,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,16,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,17,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,18,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,19,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,20,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,21,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,22,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,23,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,24,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,25,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,26,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,27,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,28,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,29,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,30,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,31,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,32,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,33,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,34,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,35,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,36,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,37,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,38,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,39,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,40,ActiveCount/Train/bonus,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,1,ActiveCount/Train/continuous,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,2,ActiveCount/Train/continuous,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,3,ActiveCount/Train/continuous,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,4,ActiveCount/Train/continuous,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,5,ActiveCount/Train/continuous,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,6,ActiveCount/Train/continuous,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,7,ActiveCount/Train/continuous,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,8,ActiveCount/Train/continuous,5097.0
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,9,ActiveCount/Train/continuous,5097.0
