architecture,max_grad_norm,epoch,learning_rate_group_0,learning_rate_group_1,train_total_loss,validation_total_loss,validation_continuous_loss,validation_win_loss,validation_score_differential_rmse,validation_score_rmse,validation_winner_accuracy,validation_winner_brier,validation_winner_ece,validation_winner_log_loss,clipping_fraction,preclip_gradient_norm_max,preclip_gradient_norm_mean,epoch_seconds,samples_per_second,z_base_update_norm_mean,is_key_epoch,is_best_validation_score_rmse,is_best_validation_score_differential_rmse,is_best_validation_winner_brier,is_best_validation_winner_log_loss
additive,2.5,1,0.0009984740754589438,0.0009984740754589438,6.943879127502441,7.516894817352295,1.0815751552581787,0.6497713327407837,129.83372497558594,95.62923431396484,0.5254674553871155,0.2498462051153183,0.03764861449599266,0.6929137706756592,0.0,1.8705073595046997,1.8390100002288818,2.318169116973877,2198.718017578125,0.03104580007493496,True,False,False,False,False
additive,2.5,2,0.0009939057053998113,0.0009939057053998113,6.72876501083374,7.326956272125244,1.0415420532226562,0.640048086643219,127.20380401611328,93.69145202636719,0.5609284043312073,0.2447548359632492,0.027124609798192978,0.6824924349784851,0.0,1.8819103240966797,1.8337305784225464,1.9999349117279053,2548.5830078125,0.05750960111618042,False,False,False,False,False
additive,2.5,3,0.0009863231098279357,0.0009863231098279357,6.524407863616943,7.1537556648254395,1.0074795484542847,0.6306993365287781,124.88667297363281,92.03480529785156,0.5934880971908569,0.23986533284187317,0.03518315404653549,0.6724676489830017,0.0,1.8615140914916992,1.8332903385162354,2.4007198810577393,2123.11328125,0.08312870562076569,False,False,False,False,False
additive,2.5,4,0.0009757729712873697,0.0009757729712873697,6.321775436401367,6.990121364593506,0.9774249196052551,0.6222291588783264,122.7702865600586,90.55982208251953,0.6173436641693115,0.23545712232589722,0.050512999296188354,0.6633802652359009,0.0,1.879879355430603,1.8444006443023682,2.1524972915649414,2367.947265625,0.10811678320169449,False,False,False,False,False
additive,2.5,5,0.0009623203659430146,0.0009623203659430146,6.113892078399658,6.833519458770752,0.9501229524612427,0.6140485405921936,120.74681854248047,89.18879699707031,0.6270148158073425,0.23123513162136078,0.05376170575618744,0.6545965671539307,0.0,1.9017480611801147,1.8653647899627686,1.9465886354446411,2618.427001953125,0.13290265202522278,True,False,False,False,False
additive,2.5,6,0.0009460482397116721,0.0009460482397116721,5.900803565979004,6.681270599365234,0.9246516227722168,0.6061527132987976,118.83114624023438,87.87884521484375,0.6444229483604431,0.22720305621623993,0.06464578956365585,0.6461108326911926,0.0,1.9256035089492798,1.8900744915008545,1.8819425106048584,2708.371826171875,0.1574569046497345,True,False,False,False,False
additive,2.5,7,0.000927056884393096,0.000927056884393096,5.680203437805176,6.533302307128906,0.9009119868278503,0.5988212823867798,116.99266815185547,86.62669372558594,0.6563507318496704,0.22351901233196259,0.06969708204269409,0.6382279396057129,0.0,1.950091004371643,1.91352379322052,1.9604651927947998,2599.89306640625,0.18179446458816528,False,False,False,False,False
additive,2.5,8,0.0009054634138010442,0.0009054634138010442,5.453401565551758,6.387049674987793,0.8786206841468811,0.5918869376182556,115.20650482177734,85.4188003540039,0.662153422832489,0.22008442878723145,0.06699911504983902,0.6307678818702698,0.0,1.9660801887512207,1.9334992170333862,1.9583444595336914,2602.708740234375,0.20569908618927002,False,False,False,False,False
additive,2.5,9,0.0008814009488560259,0.0008814009488560259,5.222313404083252,6.244697570800781,0.8581002354621887,0.5853509306907654,113.58082580566406,84.29671478271484,0.6666666865348816,0.21690671145915985,0.06323714554309845,0.623727560043335,0.0,1.9796297550201416,1.9575690031051636,1.926798701286316,2645.320556640625,0.22903145849704742,True,False,False,False,False
additive,2.5,10,0.0008550178608857095,0.0008550178608857095,4.989203929901123,6.106870174407959,0.8395503163337708,0.5792205929756165,112.0745849609375,83.26038360595703,0.6686009168624878,0.21397870779037476,0.05693429335951805,0.6171184778213501,0.0,2.0047707557678223,1.9830929040908813,1.9736747741699219,2582.492431640625,0.2516564428806305,True,False,False,False,False
additive,2.5,11,0.0008264767820946872,0.0008264767820946872,4.759049892425537,5.974184513092041,0.8227384686470032,0.5739125609397888,110.74835968017578,82.31229400634766,0.6695680022239685,0.21149352192878723,0.050304967910051346,0.6113900542259216,0.0,2.0335466861724854,2.0037448406219482,1.8508764505386353,2753.830322265625,0.273308128118515,False,False,False,False,False
