model,architecture,initialization,test_week,slice_type,event_type,observation_slice,match_count,alliance_count,actual_score_mean,predicted_score_mean,mean_bias_predicted_minus_actual,alliance_score_mae,alliance_score_rmse,score_differential_rmse,actual_score_p01,actual_score_p99,predicted_score_p01,predicted_score_p99
ridge,additive-control,pre-2026-prior,8,aggregate,all,all,1642,3284,297.50761266747867,227.35373654740314,-70.15387612007554,102.09444482837304,132.80491963300602,150.97228981022687,33.0,651.3400000000001,-88.57319951355443,553.0696341804894
ridge,additive-control,pre-2026-prior,10,aggregate,all,all,1119,2238,434.04468275245756,368.9073959388577,-65.1372868135999,116.15920905300786,148.12073212185769,169.0802113866653,102.96000000000001,797.6300000000001,60.97371902528035,734.8452343381723
rolling-pridge,additive-control,pre-2026-prior,6,aggregate,all,all,1860,3720,180.68198924731183,107.4361838978426,-73.24580534946924,109.20606140582916,140.48976914417912,160.97660150903405,20.0,556.4299999999998,-151.46928198191404,489.4005296575758
rolling-pridge,additive-control,pre-2026-prior,8,aggregate,all,all,1642,3284,297.50761266747867,234.7966425077334,-62.71097015974528,99.01434773313238,127.07850407104331,144.68767205010752,33.0,651.3400000000001,-88.36664565452651,586.8747954422371
rolling-pridge,additive-control,pre-2026-prior,10,aggregate,all,all,1119,2238,434.04468275245756,380.4716975456418,-53.57298520681574,112.49621101998889,143.420409043407,169.10637314856734,102.96000000000001,797.6300000000001,65.8766726495782,749.4852856068475
teammate-set,teammate-set,pre-2026-prior,6,aggregate,all,all,1860,3720,180.68198924731183,125.2635590925569,-55.418430154754915,72.14150287484752,94.75311310400711,107.46036167294845,20.0,556.4299999999998,27.289034829746008,386.7496014822979
teammate-set,teammate-set,pre-2026-prior,8,aggregate,all,all,1642,3284,297.50761266747867,232.7611392264295,-64.74647344104922,87.76116573452103,111.13735465572408,122.37505596796767,33.0,651.3400000000001,47.73932198197302,454.76038319485315
teammate-set,teammate-set,pre-2026-prior,10,aggregate,all,all,1119,2238,434.04468275245756,360.9957806183184,-73.04890213413917,108.75596859987606,137.07609677441485,155.60613434005134,102.96000000000001,797.6300000000001,156.05792840805694,512.2071269389786
additive,additive,pre-2026-prior,6,event_type,0,all,601,1202,188.4567387687188,141.39610188693533,-47.06063688178347,79.3168718852744,106.69133496940069,134.03026806812085,18.009999999999998,556.9000000000001,40.45373827295242,303.4757069532923
additive,additive,pre-2026-prior,6,event_type,1,all,1259,2518,176.97061159650517,139.1755016955657,-37.795109900939444,68.83617103007566,93.71911504033177,116.28748049169177,21.0,553.8299999999999,44.183391287881776,309.74666435634975
