run_path,tensorboard_root,study_id,phase,architecture,initialization,seed,test_week,max_grad_norm,candidate_epochs,event_file_count,bytes,oldest_at_utc,newest_at_utc,scalar_tag_count,max_step,status
runs/reference-2026-static-reliability/2026-static-reliability-full/development/full-match/clip_5_0,reference-2026-static-reliability,2026-static-reliability-full,development-grid,full-match,,,,5.0,,1,1271298,2026-07-12T20:19:49.075271+00:00,2026-07-12T20:19:49.075271+00:00,162,800,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/full-match/clip_5_0/contract,reference-2026-static-reliability,2026-static-reliability-full,development-grid,full-match,,,,5.0,,1,1026,2026-07-12T20:17:41.825836+00:00,2026-07-12T20:17:41.825836+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/full-match/clip_5_0/outcomes,reference-2026-static-reliability,2026-static-reliability-full,development-grid,full-match,,,,5.0,,1,3702,2026-07-12T20:20:05.262332+00:00,2026-07-12T20:20:05.262332+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/teammate-set/clip_10_0,reference-2026-static-reliability,2026-static-reliability-full,development-grid,teammate-set,,,,10.0,,1,1032632,2026-07-12T20:23:28.960160+00:00,2026-07-12T20:23:28.960160+00:00,162,800,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/teammate-set/clip_10_0/contract,reference-2026-static-reliability,2026-static-reliability-full,development-grid,teammate-set,,,,10.0,,1,1028,2026-07-12T20:21:36.637267+00:00,2026-07-12T20:21:36.637267+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/teammate-set/clip_10_0/outcomes,reference-2026-static-reliability,2026-static-reliability-full,development-grid,teammate-set,,,,10.0,,1,3704,2026-07-12T20:23:43.266220+00:00,2026-07-12T20:23:43.266220+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/teammate-set/clip_2_5,reference-2026-static-reliability,2026-static-reliability-full,development-grid,teammate-set,,,,2.5,,1,1028950,2026-07-12T20:11:13.897503+00:00,2026-07-12T20:11:13.897503+00:00,162,800,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/teammate-set/clip_2_5/contract,reference-2026-static-reliability,2026-static-reliability-full,development-grid,teammate-set,,,,2.5,,1,1028,2026-07-12T20:09:03.456025+00:00,2026-07-12T20:09:03.456025+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/teammate-set/clip_2_5/outcomes,reference-2026-static-reliability,2026-static-reliability-full,development-grid,teammate-set,,,,2.5,,1,3704,2026-07-12T20:11:30.429997+00:00,2026-07-12T20:11:30.429997+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/teammate-set/clip_5_0,reference-2026-static-reliability,2026-static-reliability-full,development-grid,teammate-set,,,,5.0,,1,1032918,2026-07-12T20:17:28.106197+00:00,2026-07-12T20:17:28.106197+00:00,162,800,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/teammate-set/clip_5_0/contract,reference-2026-static-reliability,2026-static-reliability-full,development-grid,teammate-set,,,,5.0,,1,1028,2026-07-12T20:15:31.754103+00:00,2026-07-12T20:15:31.754103+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/teammate-set/clip_5_0/outcomes,reference-2026-static-reliability,2026-static-reliability-full,development-grid,teammate-set,,,,5.0,,1,3704,2026-07-12T20:17:41.809841+00:00,2026-07-12T20:17:41.809841+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/timing-pilot,reference-2026-static-reliability,2026-static-reliability-full,timing-pilot,additive,,,,5.0,,1,79770,2026-07-12T20:07:06.501728+00:00,2026-07-12T20:07:06.501728+00:00,160,40,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/timing-pilot/contract,reference-2026-static-reliability,2026-static-reliability-full,timing-pilot,additive,,,,5.0,,1,1024,2026-07-12T20:06:53.337802+00:00,2026-07-12T20:06:53.337802+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/timing-pilot/outcomes,reference-2026-static-reliability,2026-static-reliability-full,timing-pilot,additive,,,,5.0,,1,3696,2026-07-12T20:07:20.239762+00:00,2026-07-12T20:07:20.239762+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/additive/clip_5_0,reference-2026-static-reliability,2026-static-reliability-smoke,development-grid,additive,,,,5.0,,1,96967,2026-07-12T19:55:22.921228+00:00,2026-07-12T19:55:22.921228+00:00,160,40,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/additive/clip_5_0/contract,reference-2026-static-reliability,2026-static-reliability-smoke,development-grid,additive,,,,5.0,,1,1024,2026-07-12T19:55:08.554338+00:00,2026-07-12T19:55:08.554338+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/additive/clip_5_0/outcomes,reference-2026-static-reliability,2026-static-reliability-smoke,development-grid,additive,,,,5.0,,1,3700,2026-07-12T19:55:38.285025+00:00,2026-07-12T19:55:38.285025+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/confirmation/additive/epochs_2,reference-2026-static-reliability,2026-static-reliability-smoke,development-confirmation,additive,,,,,2.0,1,105036,2026-07-12T19:57:06.514901+00:00,2026-07-12T19:57:06.514901+00:00,160,40,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/confirmation/additive/epochs_2/contract,reference-2026-static-reliability,2026-static-reliability-smoke,development-confirmation,additive,,,,,2.0,1,1024,2026-07-12T19:56:53.488126+00:00,2026-07-12T19:56:53.488126+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/confirmation/additive/epochs_2/outcomes,reference-2026-static-reliability,2026-static-reliability-smoke,development-confirmation,additive,,,,,2.0,1,3708,2026-07-12T19:57:22.174777+00:00,2026-07-12T19:57:22.174777+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/confirmation/full-match/epochs_2,reference-2026-static-reliability,2026-static-reliability-smoke,development-confirmation,full-match,,,,,2.0,1,915401,2026-07-12T19:59:08.173465+00:00,2026-07-12T19:59:08.173465+00:00,162,40,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/confirmation/full-match/epochs_2/contract,reference-2026-static-reliability,2026-static-reliability-smoke,development-confirmation,full-match,,,,,2.0,1,1026,2026-07-12T19:58:38.123956+00:00,2026-07-12T19:58:38.123956+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/confirmation/full-match/epochs_2/outcomes,reference-2026-static-reliability,2026-static-reliability-smoke,development-confirmation,full-match,,,,,2.0,1,3710,2026-07-12T19:59:48.183340+00:00,2026-07-12T19:59:48.183340+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/confirmation/teammate-set/epochs_2,reference-2026-static-reliability,2026-static-reliability-smoke,development-confirmation,teammate-set,,,,,2.0,1,652617,2026-07-12T19:57:47.506193+00:00,2026-07-12T19:57:47.506193+00:00,162,40,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/confirmation/teammate-set/epochs_2/contract,reference-2026-static-reliability,2026-static-reliability-smoke,development-confirmation,teammate-set,,,,,2.0,1,1028,2026-07-12T19:57:22.203783+00:00,2026-07-12T19:57:22.203783+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/confirmation/teammate-set/epochs_2/outcomes,reference-2026-static-reliability,2026-static-reliability-smoke,development-confirmation,teammate-set,,,,,2.0,1,3712,2026-07-12T19:58:38.097723+00:00,2026-07-12T19:58:38.097723+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/full-match/clip_5_0,reference-2026-static-reliability,2026-static-reliability-smoke,development-grid,full-match,,,,5.0,,1,915364,2026-07-12T19:56:35.664992+00:00,2026-07-12T19:56:35.664992+00:00,162,40,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/full-match/clip_5_0/contract,reference-2026-static-reliability,2026-static-reliability-smoke,development-grid,full-match,,,,5.0,,1,1026,2026-07-12T19:56:16.204224+00:00,2026-07-12T19:56:16.204224+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/full-match/clip_5_0/outcomes,reference-2026-static-reliability,2026-static-reliability-smoke,development-grid,full-match,,,,5.0,,1,3702,2026-07-12T19:56:53.452111+00:00,2026-07-12T19:56:53.452111+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/teammate-set/clip_5_0,reference-2026-static-reliability,2026-static-reliability-smoke,development-grid,teammate-set,,,,5.0,,1,652580,2026-07-12T19:55:55.769095+00:00,2026-07-12T19:55:55.769095+00:00,162,40,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/teammate-set/clip_5_0/contract,reference-2026-static-reliability,2026-static-reliability-smoke,development-grid,teammate-set,,,,5.0,,1,1028,2026-07-12T19:55:38.307458+00:00,2026-07-12T19:55:38.307458+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/development/teammate-set/clip_5_0/outcomes,reference-2026-static-reliability,2026-static-reliability-smoke,development-grid,teammate-set,,,,5.0,,1,3704,2026-07-12T19:56:16.169690+00:00,2026-07-12T19:56:16.169690+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/seed_2026/additive/fold_6,reference-2026-static-reliability,2026-static-reliability-smoke,final-fixed-duration,additive,,2026,6.0,,,1,103670,2026-07-12T20:00:29.672568+00:00,2026-07-12T20:00:29.672568+00:00,140,80,readable
