comparison,classification,score_rmse_relative_delta,differential_rmse_relative_delta,brier_delta,log_loss_delta,leave_one_division_out_stable
full-v-additive:official-total-core,harmful,0.14444551743933637,0.19054666723881522,0.06921475607131936,0.8476502608851479,True
full-v-additive:phase-core,harmful,0.12110791908155838,0.09853953342683944,0.06420254553306606,0.7232690363244345,True
full-v-teammate:official-total-core,uncertain,0.0007460622040259948,0.0012966761572823426,-0.004878104353795184,0.308545264182286,False
full-v-teammate:phase-core,uncertain,0.040237378241094114,-0.002084454126159054,0.011333080799646192,0.22207820806091938,False
supervision:additive,diagnostic-supported,-0.02762556636148041,-0.01966365011615892,0.0005394714537243758,0.006246718004614286,True
supervision:full-match,uncertain,-0.007384085947874703,0.06244348848006301,0.005551681991977673,0.13062794256532778,False
supervision:teammate-set,harmful,0.031786399198899654,0.05885588059232765,0.021762867145419057,0.04416088644396117,True
teammate-v-additive:official-total-core,harmful,0.14359232642777445,0.18900491291734375,0.07409286042511454,0.5391049967028619,True
teammate-v-additive:phase-core,harmful,0.0777423908542931,0.10083417175837808,0.05286946473341986,0.501190828263515,True
