supervision_mode,architecture,seed,epoch,scope,probability_variant,bin,count,mean_prediction,observed_rate
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,6,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,7,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,8,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,9,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,0,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,1,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,2,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,3,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,4,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,5,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,6,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,7,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,8,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,9,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,0,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,1,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,2,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,3,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,4,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,5,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,6,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,7,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,8,0,,
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,9,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,raw_pred_red_win_probability,0,1,0.014219887593370588,0.0
baseline,direct-total-pridge,control,0.0,surrogate-only,raw_pred_red_win_probability,1,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,raw_pred_red_win_probability,2,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,raw_pred_red_win_probability,3,1,0.32325117329850084,0.0
baseline,direct-total-pridge,control,0.0,surrogate-only,raw_pred_red_win_probability,4,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,raw_pred_red_win_probability,5,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,raw_pred_red_win_probability,6,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,raw_pred_red_win_probability,7,2,0.7826088115973622,1.0
baseline,direct-total-pridge,control,0.0,surrogate-only,raw_pred_red_win_probability,8,2,0.8539572809163275,1.0
baseline,direct-total-pridge,control,0.0,surrogate-only,raw_pred_red_win_probability,9,0,,
