supervision_mode,architecture,seed,epoch,scope,probability_variant,metric,value,count,direction
baseline,direct-total-pridge,control,0.0,all-official,transferred_platt_red_win_probability,winner_accuracy,0.7350044762757386,1117,higher
baseline,direct-total-pridge,control,0.0,all-official,transferred_platt_red_win_probability,winner_brier,0.1786529430661132,1117,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_platt_red_win_probability,winner_log_loss,0.5324182891474927,1117,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_platt_red_win_probability,winner_ece,0.053346209089119426,1117,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_score_red_win_probability,alliance_score_mae,97.74810493507019,2238,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_score_red_win_probability,alliance_score_rmse,124.00397015425933,2238,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_score_red_win_probability,score_differential_mae,115.7327545187967,1119,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_score_red_win_probability,score_differential_rmse,147.1548704441027,1119,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_score_red_win_probability,mean_bias,-54.716685124499236,2238,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_score_red_win_probability,relative_bias,-0.12606233251728374,2238,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_score_red_win_probability,winner_accuracy,0.7350044762757386,1117,higher
baseline,direct-total-pridge,control,0.0,all-official,transferred_score_red_win_probability,winner_brier,0.1786529430661132,1117,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_score_red_win_probability,winner_log_loss,0.5324182891474927,1117,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_score_red_win_probability,winner_ece,0.053346209089119426,1117,lower
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,alliance_score_mae,107.0531163204339,22,lower
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,alliance_score_rmse,159.15687450808684,22,lower
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,score_differential_mae,158.0029416829592,11,lower
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,score_differential_rmse,208.31942804820255,11,lower
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,mean_bias,-32.33544848715177,22,lower
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,relative_bias,-0.0867007759558,22,lower
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,winner_accuracy,0.7272727272727273,11,higher
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,winner_brier,0.1880533243189924,11,lower
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,winner_log_loss,0.5685187670044389,11,lower
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,winner_ece,0.2781686804011973,11,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,alliance_score_mae,107.0531163204339,22,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,alliance_score_rmse,159.15687450808684,22,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,score_differential_mae,158.0029416829592,11,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,score_differential_rmse,208.31942804820255,11,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,mean_bias,-32.33544848715177,22,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,relative_bias,-0.0867007759558,22,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,winner_accuracy,0.7272727272727273,11,higher
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,winner_brier,0.1880533243189924,11,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,winner_log_loss,0.5685187670044389,11,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,winner_ece,0.2781686804011973,11,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,alliance_score_mae,107.0531163204339,22,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,alliance_score_rmse,159.15687450808684,22,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,score_differential_mae,158.0029416829592,11,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,score_differential_rmse,208.31942804820255,11,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,mean_bias,-32.33544848715177,22,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,relative_bias,-0.0867007759558,22,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_score_red_win_probability,winner_accuracy,0.7272727272727273,11,higher
