comparison,metric,omitted_event,delta_right_minus_left,left_value,right_value,relative_delta
supervision:teammate-set,winner_log_loss,2026new,0.062238807019680494,1.3125709172715139,1.3748097242911945,0.04741748137240355
supervision:full-match,score_squared_error,2026arc,-549.7168527371344,145.33983266840198,143.43622313537804,-0.013097645002571953
supervision:full-match,score_squared_error,2026cur,-251.75600749096037,145.21847067056802,144.3490499324733,-0.0059869845349565486
supervision:full-match,score_squared_error,2026dal,-585.1082148691399,147.88015083956114,145.88841899706165,-0.013468554306929061
supervision:full-match,score_squared_error,2026gal,-381.3224072221194,144.39361693156866,143.06709685793749,-0.009186833198172742
supervision:full-match,score_squared_error,2026hop,36.251934494346735,141.36653922088524,141.4947007692671,0.0009065904073778143
supervision:full-match,score_squared_error,2026joh,-375.1649477302043,144.69069484155762,143.38839641338677,-0.009000567932837109
supervision:full-match,score_squared_error,2026mil,-310.9237328962644,145.91120096204514,144.84182694681138,-0.0073289371082068695
supervision:full-match,score_squared_error,2026new,-46.55109749756428,142.69214889012093,142.52893831563776,-0.0011437950563688859
supervision:full-match,differential_squared_error,2026arc,3284.1509290936783,166.6231106473898,176.20275801163268,0.05749290915901492
supervision:full-match,differential_squared_error,2026cur,4111.180199884531,169.73952140496118,181.4460948234208,0.06896787101532059
supervision:full-match,differential_squared_error,2026dal,3241.4375627105615,170.53562972583114,179.7883159960523,0.05425661655043361
supervision:full-match,differential_squared_error,2026gal,3578.7621430160248,168.2627780655487,178.58086298747725,0.06132125619552659
supervision:full-match,differential_squared_error,2026hop,3004.0985919294853,168.718775732271,177.39820708374097,0.051443185939440375
supervision:full-match,differential_squared_error,2026joh,4491.217121984388,165.91652970113194,178.93996744732848,0.07849391359411792
supervision:full-match,differential_squared_error,2026mil,3136.3367876503808,169.3631639927751,178.38222474589224,0.05325278850778845
supervision:full-match,differential_squared_error,2026new,4339.3298348299995,167.28364901619577,179.78639843715587,0.07473981763602988
supervision:full-match,winner_brier,2026arc,0.005052855602448734,0.28071801849484895,0.2857708740972977,0.01799975516192753
supervision:full-match,winner_brier,2026cur,0.007040729274632603,0.2852669226953015,0.29230765196993413,0.02468119755388865
supervision:full-match,winner_brier,2026dal,0.009377513137618766,0.2795007023186111,0.28887821545622994,0.03355094659808441
supervision:full-match,winner_brier,2026gal,0.002454425706635001,0.28894148059565666,0.2913959063022916,0.008494542568187593
supervision:full-match,winner_brier,2026hop,-0.0017823129547228733,0.29103282394946056,0.28925051099473775,-0.0061240960058591785
supervision:full-match,winner_brier,2026joh,0.011601147530814121,0.2774830751454757,0.28908422267628986,0.041808486967113326
supervision:full-match,winner_brier,2026mil,-0.002039345845494778,0.29031850340429965,0.28827915755880495,-0.007024512118866541
supervision:full-match,winner_brier,2026new,0.012719677274180715,0.2804821757242409,0.2932018529984216,0.045349324752408535
supervision:full-match,winner_log_loss,2026arc,0.1200277279462551,1.4860097269713766,1.6060374549176317,0.08077183195219229
supervision:full-match,winner_log_loss,2026cur,0.14443917260003375,1.539063560868728,1.6835027334687616,0.09384873781203978
supervision:full-match,winner_log_loss,2026dal,0.1225567361122102,1.5095138706875104,1.6320706067997204,0.08118953955447346
supervision:full-match,winner_log_loss,2026gal,0.10434770120724966,1.538608250024001,1.6429559512312504,0.06781953834292881
supervision:full-match,winner_log_loss,2026hop,0.09541338240526663,1.5365709806031536,1.6319843630084203,0.06209500479295394
supervision:full-match,winner_log_loss,2026joh,0.20090137341837674,1.4425896349160447,1.6434910083344214,0.13926439547035055
supervision:full-match,winner_log_loss,2026mil,0.0771540429244267,1.559970581623272,1.6371246245476985,0.04945865251134515
supervision:full-match,winner_log_loss,2026new,0.18027326592986048,1.4939006194252673,1.6741738853551278,0.12067286376734694
