phase,supervision_mode,architecture,epoch,nominal_parameter_count,trainable_parameter_count,gradient_receiving_parameter_count,active_team_rows,module_Z_base_nominal_parameter_count,module_Z_base_trainable_parameter_count,module_Z_base_gradient_receiving_parameter_count,module_prediction_heads_nominal_parameter_count,module_prediction_heads_trainable_parameter_count,module_prediction_heads_gradient_receiving_parameter_count,module_sab_nominal_parameter_count,module_sab_trainable_parameter_count,module_sab_gradient_receiving_parameter_count,module_pma_nominal_parameter_count,module_pma_trainable_parameter_count,module_pma_gradient_receiving_parameter_count,module_cross_nominal_parameter_count,module_cross_trainable_parameter_count,module_cross_gradient_receiving_parameter_count
development,phase-core,additive,60,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,61,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,62,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,63,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,64,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,65,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,66,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,67,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,68,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,69,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,70,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,71,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,72,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,73,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,74,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,75,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,76,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,77,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,78,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,79,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,80,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,81,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,82,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,83,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,84,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,85,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,86,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,87,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,88,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,89,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,90,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,91,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,92,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,93,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,94,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,95,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,96,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,97,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,98,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,99,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,100,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,teammate-set,1,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,2,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,3,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,4,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,5,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,6,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,7,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,8,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,9,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,10,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,11,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,12,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,13,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,14,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,15,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,16,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,17,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,18,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,19,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,20,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,21,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,22,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,23,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,24,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,25,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,26,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,27,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,28,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,29,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,30,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,31,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,32,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,33,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,34,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,35,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,36,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
