supervision_mode,architecture,seed,epoch,scope,probability_variant,metric,value,count,direction
baseline,direct-total-pridge,control,0.0,division:2026cur,raw_pred_red_win_probability,mean_bias,-51.5861418801649,278,lower
baseline,direct-total-pridge,control,0.0,division:2026cur,raw_pred_red_win_probability,relative_bias,-0.11890149771735684,278,lower
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,alliance_score_rmse,117.27481779566672,278,lower
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,mean_bias,-51.5861418801649,278,lower
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,relative_bias,-0.11890149771735684,278,lower
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_score_red_win_probability,alliance_score_rmse,117.27481779566672,278,lower
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_score_red_win_probability,mean_bias,-51.5861418801649,278,lower
baseline,direct-total-pridge,control,0.0,division:2026cur,transferred_score_red_win_probability,relative_bias,-0.11890149771735684,278,lower
baseline,direct-total-pridge,control,0.0,division:2026dal,raw_pred_red_win_probability,alliance_score_rmse,108.61825935394327,280,lower
baseline,direct-total-pridge,control,0.0,division:2026dal,raw_pred_red_win_probability,mean_bias,-36.511947434852786,280,lower
baseline,direct-total-pridge,control,0.0,division:2026dal,raw_pred_red_win_probability,relative_bias,-0.08955748621825586,280,lower
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,alliance_score_rmse,108.61825935394327,280,lower
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,mean_bias,-36.511947434852786,280,lower
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,relative_bias,-0.08955748621825586,280,lower
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_score_red_win_probability,alliance_score_rmse,108.61825935394327,280,lower
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_score_red_win_probability,mean_bias,-36.511947434852786,280,lower
baseline,direct-total-pridge,control,0.0,division:2026dal,transferred_score_red_win_probability,relative_bias,-0.08955748621825586,280,lower
baseline,direct-total-pridge,control,0.0,division:2026gal,raw_pred_red_win_probability,alliance_score_rmse,156.327473562576,280,lower
baseline,direct-total-pridge,control,0.0,division:2026gal,raw_pred_red_win_probability,mean_bias,-93.60360490617893,280,lower
baseline,direct-total-pridge,control,0.0,division:2026gal,raw_pred_red_win_probability,relative_bias,-0.2200385302258406,280,lower
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,alliance_score_rmse,156.327473562576,280,lower
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,mean_bias,-93.60360490617893,280,lower
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_platt_red_win_probability,relative_bias,-0.2200385302258406,280,lower
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_score_red_win_probability,alliance_score_rmse,156.327473562576,280,lower
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_score_red_win_probability,mean_bias,-93.60360490617893,280,lower
baseline,direct-total-pridge,control,0.0,division:2026gal,transferred_score_red_win_probability,relative_bias,-0.2200385302258406,280,lower
baseline,direct-total-pridge,control,0.0,division:2026hop,raw_pred_red_win_probability,alliance_score_rmse,129.3250702065684,280,lower
baseline,direct-total-pridge,control,0.0,division:2026hop,raw_pred_red_win_probability,mean_bias,-67.74835984125743,280,lower
baseline,direct-total-pridge,control,0.0,division:2026hop,raw_pred_red_win_probability,relative_bias,-0.1468958366028999,280,lower
baseline,direct-total-pridge,control,0.0,division:2026hop,transferred_platt_red_win_probability,alliance_score_rmse,129.3250702065684,280,lower
baseline,direct-total-pridge,control,0.0,division:2026hop,transferred_platt_red_win_probability,mean_bias,-67.74835984125743,280,lower
baseline,direct-total-pridge,control,0.0,division:2026hop,transferred_platt_red_win_probability,relative_bias,-0.1468958366028999,280,lower
baseline,direct-total-pridge,control,0.0,division:2026hop,transferred_score_red_win_probability,alliance_score_rmse,129.3250702065684,280,lower
baseline,direct-total-pridge,control,0.0,division:2026hop,transferred_score_red_win_probability,mean_bias,-67.74835984125743,280,lower
baseline,direct-total-pridge,control,0.0,division:2026hop,transferred_score_red_win_probability,relative_bias,-0.1468958366028999,280,lower
baseline,direct-total-pridge,control,0.0,division:2026joh,raw_pred_red_win_probability,alliance_score_rmse,115.43396684671325,280,lower
baseline,direct-total-pridge,control,0.0,division:2026joh,raw_pred_red_win_probability,mean_bias,-36.67271147885469,280,lower
baseline,direct-total-pridge,control,0.0,division:2026joh,raw_pred_red_win_probability,relative_bias,-0.08832997173401559,280,lower
baseline,direct-total-pridge,control,0.0,division:2026joh,transferred_platt_red_win_probability,alliance_score_rmse,115.43396684671325,280,lower
baseline,direct-total-pridge,control,0.0,division:2026joh,transferred_platt_red_win_probability,mean_bias,-36.67271147885469,280,lower
baseline,direct-total-pridge,control,0.0,division:2026joh,transferred_platt_red_win_probability,relative_bias,-0.08832997173401559,280,lower
baseline,direct-total-pridge,control,0.0,division:2026joh,transferred_score_red_win_probability,alliance_score_rmse,115.43396684671325,280,lower
baseline,direct-total-pridge,control,0.0,division:2026joh,transferred_score_red_win_probability,mean_bias,-36.67271147885469,280,lower
baseline,direct-total-pridge,control,0.0,division:2026joh,transferred_score_red_win_probability,relative_bias,-0.08832997173401559,280,lower
baseline,direct-total-pridge,control,0.0,division:2026mil,raw_pred_red_win_probability,alliance_score_rmse,113.62487766707657,278,lower
baseline,direct-total-pridge,control,0.0,division:2026mil,raw_pred_red_win_probability,mean_bias,-55.8042452914191,278,lower
baseline,direct-total-pridge,control,0.0,division:2026mil,raw_pred_red_win_probability,relative_bias,-0.13555608149850154,278,lower
baseline,direct-total-pridge,control,0.0,division:2026mil,transferred_platt_red_win_probability,alliance_score_rmse,113.62487766707657,278,lower
baseline,direct-total-pridge,control,0.0,division:2026mil,transferred_platt_red_win_probability,mean_bias,-55.8042452914191,278,lower
baseline,direct-total-pridge,control,0.0,division:2026mil,transferred_platt_red_win_probability,relative_bias,-0.13555608149850154,278,lower
baseline,direct-total-pridge,control,0.0,division:2026mil,transferred_score_red_win_probability,alliance_score_rmse,113.62487766707657,278,lower
baseline,direct-total-pridge,control,0.0,division:2026mil,transferred_score_red_win_probability,mean_bias,-55.8042452914191,278,lower
baseline,direct-total-pridge,control,0.0,division:2026mil,transferred_score_red_win_probability,relative_bias,-0.13555608149850154,278,lower
baseline,direct-total-pridge,control,0.0,division:2026new,raw_pred_red_win_probability,alliance_score_rmse,131.18212239819843,280,lower
baseline,direct-total-pridge,control,0.0,division:2026new,raw_pred_red_win_probability,mean_bias,-68.16626870996853,280,lower
baseline,direct-total-pridge,control,0.0,division:2026new,raw_pred_red_win_probability,relative_bias,-0.14423561909174246,280,lower
baseline,direct-total-pridge,control,0.0,division:2026new,transferred_platt_red_win_probability,alliance_score_rmse,131.18212239819843,280,lower
baseline,direct-total-pridge,control,0.0,division:2026new,transferred_platt_red_win_probability,mean_bias,-68.16626870996853,280,lower
baseline,direct-total-pridge,control,0.0,division:2026new,transferred_platt_red_win_probability,relative_bias,-0.14423561909174246,280,lower
baseline,direct-total-pridge,control,0.0,division:2026new,transferred_score_red_win_probability,alliance_score_rmse,131.18212239819843,280,lower
baseline,direct-total-pridge,control,0.0,division:2026new,transferred_score_red_win_probability,mean_bias,-68.16626870996853,280,lower
baseline,direct-total-pridge,control,0.0,division:2026new,transferred_score_red_win_probability,relative_bias,-0.14423561909174246,280,lower
baseline,direct-total-pridge,control,0.0,observation:high,raw_pred_red_win_probability,alliance_score_rmse,121.6070189117589,2134,lower
baseline,direct-total-pridge,control,0.0,observation:high,raw_pred_red_win_probability,mean_bias,-52.327907524181775,2134,lower
baseline,direct-total-pridge,control,0.0,observation:high,raw_pred_red_win_probability,relative_bias,-0.11989237132983027,2134,lower
baseline,direct-total-pridge,control,0.0,observation:high,transferred_platt_red_win_probability,alliance_score_rmse,121.6070189117589,2134,lower
baseline,direct-total-pridge,control,0.0,observation:high,transferred_platt_red_win_probability,mean_bias,-52.327907524181775,2134,lower
baseline,direct-total-pridge,control,0.0,observation:high,transferred_platt_red_win_probability,relative_bias,-0.11989237132983027,2134,lower
baseline,direct-total-pridge,control,0.0,observation:high,transferred_score_red_win_probability,alliance_score_rmse,121.6070189117589,2134,lower
baseline,direct-total-pridge,control,0.0,observation:high,transferred_score_red_win_probability,mean_bias,-52.327907524181775,2134,lower
baseline,direct-total-pridge,control,0.0,observation:high,transferred_score_red_win_probability,relative_bias,-0.11989237132983027,2134,lower
baseline,direct-total-pridge,control,0.0,observation:low,raw_pred_red_win_probability,alliance_score_rmse,123.60987979666771,4,lower
baseline,direct-total-pridge,control,0.0,observation:low,raw_pred_red_win_probability,mean_bias,-98.72739928657313,4,lower
baseline,direct-total-pridge,control,0.0,observation:low,raw_pred_red_win_probability,relative_bias,-0.2629225014289564,4,lower
baseline,direct-total-pridge,control,0.0,observation:low,transferred_platt_red_win_probability,alliance_score_rmse,123.60987979666771,4,lower
baseline,direct-total-pridge,control,0.0,observation:low,transferred_platt_red_win_probability,mean_bias,-98.72739928657313,4,lower
baseline,direct-total-pridge,control,0.0,observation:low,transferred_platt_red_win_probability,relative_bias,-0.2629225014289564,4,lower
baseline,direct-total-pridge,control,0.0,observation:low,transferred_score_red_win_probability,alliance_score_rmse,123.60987979666771,4,lower
baseline,direct-total-pridge,control,0.0,observation:low,transferred_score_red_win_probability,mean_bias,-98.72739928657313,4,lower
baseline,direct-total-pridge,control,0.0,observation:low,transferred_score_red_win_probability,relative_bias,-0.2629225014289564,4,lower
baseline,direct-total-pridge,control,0.0,observation:medium,raw_pred_red_win_probability,alliance_score_rmse,167.16495071985193,100,lower
baseline,direct-total-pridge,control,0.0,observation:medium,raw_pred_red_win_probability,mean_bias,-103.93277054879076,100,lower
baseline,direct-total-pridge,control,0.0,observation:medium,raw_pred_red_win_probability,relative_bias,-0.27002538464222076,100,lower
baseline,direct-total-pridge,control,0.0,observation:medium,transferred_platt_red_win_probability,alliance_score_rmse,167.16495071985193,100,lower
baseline,direct-total-pridge,control,0.0,observation:medium,transferred_platt_red_win_probability,mean_bias,-103.93277054879076,100,lower
baseline,direct-total-pridge,control,0.0,observation:medium,transferred_platt_red_win_probability,relative_bias,-0.27002538464222076,100,lower
baseline,direct-total-pridge,control,0.0,observation:medium,transferred_score_red_win_probability,alliance_score_rmse,167.16495071985193,100,lower
baseline,direct-total-pridge,control,0.0,observation:medium,transferred_score_red_win_probability,mean_bias,-103.93277054879076,100,lower
baseline,direct-total-pridge,control,0.0,observation:medium,transferred_score_red_win_probability,relative_bias,-0.27002538464222076,100,lower
baseline,direct-total-ridge,control,0.0,primary-clean,raw_pred_red_win_probability,alliance_score_rmse,129.44264536883395,2216,lower
baseline,direct-total-ridge,control,0.0,primary-clean,raw_pred_red_win_probability,mean_bias,-63.516988168272036,2216,lower
baseline,direct-total-ridge,control,0.0,primary-clean,raw_pred_red_win_probability,relative_bias,-0.14613324907924508,2216,lower
baseline,direct-total-ridge,control,0.0,primary-clean,transferred_platt_red_win_probability,alliance_score_rmse,129.44264536883395,2216,lower
baseline,direct-total-ridge,control,0.0,primary-clean,transferred_platt_red_win_probability,mean_bias,-63.516988168272036,2216,lower
baseline,direct-total-ridge,control,0.0,primary-clean,transferred_platt_red_win_probability,relative_bias,-0.14613324907924508,2216,lower
baseline,direct-total-ridge,control,0.0,primary-clean,transferred_score_red_win_probability,alliance_score_rmse,129.44264536883395,2216,lower
baseline,direct-total-ridge,control,0.0,primary-clean,transferred_score_red_win_probability,mean_bias,-63.516988168272036,2216,lower
baseline,direct-total-ridge,control,0.0,primary-clean,transferred_score_red_win_probability,relative_bias,-0.14613324907924508,2216,lower
baseline,direct-total-ridge,control,0.0,all-official,raw_pred_red_win_probability,alliance_score_rmse,129.82350527200086,2238,lower
baseline,direct-total-ridge,control,0.0,all-official,raw_pred_red_win_probability,mean_bias,-63.17008673122753,2238,lower
baseline,direct-total-ridge,control,0.0,all-official,raw_pred_red_win_probability,relative_bias,-0.14553821125198396,2238,lower
baseline,direct-total-ridge,control,0.0,all-official,transferred_platt_red_win_probability,alliance_score_rmse,129.82350527200086,2238,lower
baseline,direct-total-ridge,control,0.0,all-official,transferred_platt_red_win_probability,mean_bias,-63.17008673122753,2238,lower
baseline,direct-total-ridge,control,0.0,all-official,transferred_platt_red_win_probability,relative_bias,-0.14553821125198396,2238,lower
baseline,direct-total-ridge,control,0.0,all-official,transferred_score_red_win_probability,alliance_score_rmse,129.82350527200086,2238,lower
baseline,direct-total-ridge,control,0.0,all-official,transferred_score_red_win_probability,mean_bias,-63.17008673122753,2238,lower
baseline,direct-total-ridge,control,0.0,all-official,transferred_score_red_win_probability,relative_bias,-0.14553821125198396,2238,lower
baseline,direct-total-ridge,control,0.0,DQ-only,raw_pred_red_win_probability,alliance_score_rmse,163.70816870569553,22,lower
baseline,direct-total-ridge,control,0.0,DQ-only,raw_pred_red_win_probability,mean_bias,-28.227651072564115,22,lower
baseline,direct-total-ridge,control,0.0,DQ-only,raw_pred_red_win_probability,relative_bias,-0.07568657204100068,22,lower
baseline,direct-total-ridge,control,0.0,DQ-only,transferred_platt_red_win_probability,alliance_score_rmse,163.70816870569553,22,lower
baseline,direct-total-ridge,control,0.0,DQ-only,transferred_platt_red_win_probability,mean_bias,-28.227651072564115,22,lower
baseline,direct-total-ridge,control,0.0,DQ-only,transferred_platt_red_win_probability,relative_bias,-0.07568657204100068,22,lower
baseline,direct-total-ridge,control,0.0,DQ-only,transferred_score_red_win_probability,alliance_score_rmse,163.70816870569553,22,lower
baseline,direct-total-ridge,control,0.0,DQ-only,transferred_score_red_win_probability,mean_bias,-28.227651072564115,22,lower
baseline,direct-total-ridge,control,0.0,DQ-only,transferred_score_red_win_probability,relative_bias,-0.07568657204100068,22,lower
baseline,direct-total-ridge,control,0.0,surrogate-only,raw_pred_red_win_probability,alliance_score_rmse,91.8566676465829,12,lower
baseline,direct-total-ridge,control,0.0,surrogate-only,raw_pred_red_win_probability,mean_bias,-47.4177013207595,12,lower
baseline,direct-total-ridge,control,0.0,surrogate-only,raw_pred_red_win_probability,relative_bias,-0.122552749482902,12,lower
baseline,direct-total-ridge,control,0.0,surrogate-only,transferred_platt_red_win_probability,alliance_score_rmse,91.8566676465829,12,lower
baseline,direct-total-ridge,control,0.0,surrogate-only,transferred_platt_red_win_probability,mean_bias,-47.4177013207595,12,lower
baseline,direct-total-ridge,control,0.0,surrogate-only,transferred_platt_red_win_probability,relative_bias,-0.122552749482902,12,lower
baseline,direct-total-ridge,control,0.0,surrogate-only,transferred_score_red_win_probability,alliance_score_rmse,91.8566676465829,12,lower
baseline,direct-total-ridge,control,0.0,surrogate-only,transferred_score_red_win_probability,mean_bias,-47.4177013207595,12,lower
baseline,direct-total-ridge,control,0.0,surrogate-only,transferred_score_red_win_probability,relative_bias,-0.122552749482902,12,lower
baseline,direct-total-ridge,control,0.0,division:2026arc,raw_pred_red_win_probability,alliance_score_rmse,122.12789006699684,282,lower
baseline,direct-total-ridge,control,0.0,division:2026arc,raw_pred_red_win_probability,mean_bias,-46.37164119219736,282,lower
